ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
ขนมจีบกุ้ง,"แผ่นเกี๊ยว, กุ้งสับ, มันหมู, กระเทียม, รากผักชี, ซอสปรุง, พริกไทย, น้ำตาลทราย, น้ำมันงา, จิ๊กโฉ่ว ",,อยากกินขนมจีบ ที่ทำมาจากแผ่นเกี๊ยวสีเหลือง ใส่ กุ้ง มันหมู กินกับจิ๊กโฉ่ว,,
ขนมจีบต้ม ,"หมูสับ, พริกไทยขาว, ซีอิ๊วขาว, กระเทียม, รากผักชี, น้ำตาลทราย, น้ำมันงา, แผ่นเกี๊ยว, น้ำ, น้ำมันกระเทียมเจียว, น้ำจิ้ม, แป้งมัน",,อยากกินขนมจีบต้ม แบบคนจีนชอบกินกัน,,
ขนมจีบลาบไมโครเวฟ,"กุ้ง, หมู, คนอร์, ต้นหอม, ผักชี, หอมแดง, แผ่นเกี๊ยว, รสดีเมนู, น้ำอุ่น, ต้นหอม, ผักชี, หอมแดง",,อยากทำอาหาร ที่ทำง่ายๆ ใช้ ไมโครเวฟ มีกุ้ง หมูบด ทำอะไรกินดี,,
ขนมจีบอกไก่,"อกไก่,  แครอท,  หัวไชเท้า,  พริกไทย,  พริกไทยดำ,  รากผักชี,  ซีอิ๊วขาว,  กระเทียม,  แผ่นเกี๊ยว",,อยากเอาอกไก่มาทำอาหารอร่อยๆ ที่ไม่เหมือนเดิม ใช้แผ่นเกี๊ยว ,,
ขนมต้มขาว,"มะพร้าว, น้ำตาลปี๊บ, เทียน, แป้งข้าวเหนียว, กะทิ, น้ำสะอาด, มะพร้าว",,มีมะพร่าว แป้งข้าวเหนียว ขนมอบควันเทียน กะทิ ทำอะไรกินดี ,,
ขนมเบื้องง่าย สูตร 1 และ สูตร 2,"แป้งข้าวจ้าว, แป้งถั่วเขียว, น้ำปูนใส, ไข่ไก่, น้ำตาลปี๊บ, แป้งข้าวจ้าว, แป้งข้าวโพด, แป้งสาลีเอนกประสงค์, น้ำ, ไข่, น้ำตาลปี๊บ, แป้งสูตรที่,  ไข่ขาว, น้ำมะนาว, น้ำตาลไอซิ่ง, ฝอยทอง, ลูกเกด",,อยากทำขนมที่อีกฝ่ายเห็นแล้วประทับใจ ที่บ้านมีแป้งข้าวเหนียว แป้งข้าวเจ้า แป้งอเนกประสงค์  และก็มี น้ำตาลไอซิ่ง ไข่ ทำอะไรกินดี ,,
ขนมปังเนยกรอบไมโครเวฟ,"ขนมปัง, เนยเค็ม, น้ำตาลทราย",,มี ขนมปังที่เหลือไว้อยู่ กับเนยเค็ม น้ำตาลทราย ทำอะไรกินดี ที่อร่อยๆ เป็นของหวาน,,
ขนมเปียกปูนใบเตย,"แป้งข้าวเจ้า, แป้งเท้ายายม่อม, น้ำปูนใส, น้ำตาลทราย, น้ำตาลปี๊บ, น้ำใบเตย, มะพร้าว",,มี แป้งข้าวเจ้า แป้งเท้ายายม่อม น้ำปูนใส น้ำตาลทราย น้ำตาลปี๊บ น้ำใบเตย มะพร้าว ข้าวโพด แครอท ไข่ ทำอะไรกินดี ,,
ขนมผิง,"แป้งมัน, น้ำตาลทราย, กะทิ, ไข่แดง, น้ำ",,อยากกินขนมไทยๆทำมาจากแป้ง ไข่  มีที่อบควันเทียนด้วย,,
ขนมลืมกลืน,"แป้งถั่วเขียว, น้ำลอยดอกมะลิ, น้ำตาลทราย, น้ำอัญชัน, ถั่วเขียว, กะทิ, แป้งข้าวเจ้า, แป้งถั่วเขียว, เกลือ, น้ำตาล",,มีแป้งถั่วเขียว ดอกมะลิ น้ำตาล แป้ง ทำอะไรกินดี ไม่เอาอ้วยมาก กลางๆ ,,
ขนมอินทนิล,"แป้งมันสำปะหลัง, น้ำใบเตยเข้มข้น, กะทิเรียลไทย, น้ำลอยดอกมะลิ, น้ำตาลทราย, เกลือ, ใบเตย, เทียนอบขนม",,อยากกินขนมอร่อยๆ ทำมาจากน้ำใบเตย ใส่กะทิ ทำแล้วแม่ผัวประทับใจ,,
ข้าวเกรียบปากหม้อ,"แป้งข้าวเจ้า, แป้งมันสำปะหลัง, แป้งท้าวยายม่อม, เกลือ, น้ำเปล่า, ผักชี, ผักกาดหอม, พริกขี้หนู, กระเทียมเจียว, พริกชี้ฟ้า, สีผสมอาหาร, น้ำ",,อยากกินข้าวเกรียบปากหม้อ ,,
ข้าวไข่ข้นกิมจิเบคอนกรอบ,"เบคอน, ไข่, ต้นหอม, กิมจิ, ข้าว, โคชูจัง, น้ำมันหอย, น้ำปลา",,มีกิมจิ ไข่หลายฟอง ข้าวเย็น ทำอะไรกินดี ,,
ข้าวไข่ข้นกุ้ง เนื้อนุ่มละมุนลิ้น,"ไข่ไก่, ซีอิ๊วขาว, นมสด, น้ำมัน, กุ้ง",,อยากกินอาหารง่ายๆ เด็กๆชอบ มี ไข่ กุ้ง ข้าว ,,
ข้าวคลุกพริกเกลือ,"ข้าว, น้ำสะอาด, กระเทียม, พริกขี้หนู, เกลือ, น้ำปลา, น้ำมะนาว, น้ำต้ม, น้ำตาล, กุ้ง, ปลาหมึก, ปลา, กระเทียมเจียว, ผักชี",,มี กุ้งแม่น้ำ ปลากะพง ข้าว เกลือ น้ำตาล กระเทียม ทำอะไรกินดี,,
